%Energy (eV)	Diffusion coefficient x N (1/m/s)
0.5175E-01	0.4898E+21
0.5476E-01	0.5400E+21
0.7031E-01	0.8299E+21
0.1209	0.2047E+22
0.2283	0.5629E+22
0.3754	0.1223E+23
0.5487	0.2195E+23
0.7547	0.3541E+23
1.027	0.5481E+23
1.440	0.8450E+23
2.024	0.1268E+24
2.641	0.1646E+24
3.202	0.1989E+24
3.674	0.2263E+24
4.074	0.2485E+24
4.426	0.2671E+24
4.745	0.2833E+24
5.044	0.2980E+24
5.333	0.3118E+24
5.616	0.3250E+24
5.899	0.3380E+24
6.185	0.3511E+24
6.478	0.3642E+24
6.779	0.3777E+24
7.091	0.3918E+24
7.416	0.4066E+24
7.757	0.4222E+24
8.114	0.4385E+24
8.493	0.4563E+24
8.893	0.4753E+24
9.318	0.4957E+24
9.770	0.5179E+24
10.25	0.5422E+24
10.77	0.5687E+24
11.33	0.5978E+24
11.93	0.6298E+24
12.57	0.6652E+24
13.26	0.7038E+24
14.02	0.7471E+24
14.83	0.7945E+24
