%Energy (eV)	Energy diffusion coef. x N (1/m/s)
0.5175E-01	0.1157E+22
0.5476E-01	0.1292E+22
0.7031E-01	0.2072E+22
0.1209	0.5083E+22
0.2283	0.1234E+23
0.3754	0.2398E+23
0.5487	0.4017E+23
0.7547	0.6275E+23
1.027	0.9856E+23
1.440	0.1566E+24
2.024	0.2283E+24
2.641	0.2771E+24
3.202	0.3152E+24
3.674	0.3432E+24
4.074	0.3651E+24
4.426	0.3838E+24
4.745	0.4007E+24
5.044	0.4168E+24
5.333	0.4328E+24
5.616	0.4489E+24
5.899	0.4657E+24
6.185	0.4834E+24
6.478	0.5021E+24
6.779	0.5222E+24
7.091	0.5441E+24
7.416	0.5681E+24
7.757	0.5943E+24
8.114	0.6229E+24
8.493	0.6551E+24
8.893	0.6905E+24
9.318	0.7299E+24
9.770	0.7741E+24
10.25	0.8236E+24
10.77	0.8788E+24
11.33	0.9411E+24
11.93	0.1011E+25
12.57	0.1090E+25
13.26	0.1178E+25
14.02	0.1277E+25
14.83	0.1387E+25
