%Energy (eV)	Elastic power loss / N (eV m3/s)
0.5175E-01	0.4776E-18
0.5476E-01	0.5281E-18
0.7031E-01	0.8225E-18
0.1209	0.2091E-17
0.2283	0.5960E-17
0.3754	0.1336E-16
0.5487	0.2462E-16
0.7547	0.4066E-16
1.027	0.6426E-16
1.440	0.1006E-15
2.024	0.1501E-15
2.641	0.1979E-15
3.202	0.2389E-15
3.674	0.2714E-15
4.074	0.2974E-15
4.426	0.3191E-15
4.745	0.3378E-15
5.044	0.3547E-15
5.333	0.3704E-15
5.616	0.3854E-15
5.899	0.4001E-15
6.185	0.4146E-15
6.478	0.4293E-15
6.779	0.4444E-15
7.091	0.4599E-15
7.416	0.4762E-15
7.757	0.4932E-15
8.114	0.5112E-15
8.493	0.5305E-15
8.893	0.5510E-15
9.318	0.5732E-15
9.770	0.5971E-15
10.25	0.6230E-15
10.77	0.6512E-15
11.33	0.6821E-15
11.93	0.7159E-15
12.57	0.7530E-15
13.26	0.7936E-15
14.02	0.8385E-15
14.83	0.8877E-15
