% ke1    H    Elastic                                              
% e + H -> e + H
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.4797E-13
0.5476E-01	0.4920E-13
0.7031E-01	0.5490E-13
0.1209	0.6891E-13
0.2283	0.8817E-13
0.3754	0.1039E-12
0.5487	0.1148E-12
0.7547	0.1225E-12
1.027	0.1282E-12
1.440	0.1325E-12
2.024	0.1354E-12
2.641	0.1368E-12
3.202	0.1373E-12
3.674	0.1372E-12
4.074	0.1369E-12
4.426	0.1364E-12
4.745	0.1358E-12
5.044	0.1352E-12
5.333	0.1345E-12
5.616	0.1337E-12
5.899	0.1329E-12
6.185	0.1320E-12
6.478	0.1311E-12
6.779	0.1301E-12
7.091	0.1291E-12
7.416	0.1280E-12
7.757	0.1268E-12
8.114	0.1256E-12
8.493	0.1243E-12
8.893	0.1230E-12
9.318	0.1216E-12
9.770	0.1201E-12
10.25	0.1186E-12
10.77	0.1170E-12
11.33	0.1153E-12
11.93	0.1136E-12
12.57	0.1118E-12
13.26	0.1100E-12
14.02	0.1080E-12
14.83	0.1061E-12
