% ke10   H2    Excitation    1.50 eV   
% e + H2 -> e + H2(V3)(1.5eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.6744E-32
0.7031E-01	0.3549E-28
0.1209	0.1980E-24
0.2283	0.1717E-21
0.3754	0.1147E-19
0.5487	0.1581E-18
0.7547	0.9089E-18
1.027	0.3122E-17
1.440	0.7462E-17
2.024	0.1309E-16
2.641	0.1804E-16
3.202	0.2157E-16
3.674	0.2385E-16
4.074	0.2529E-16
4.426	0.2618E-16
4.745	0.2671E-16
5.044	0.2698E-16
5.333	0.2708E-16
5.616	0.2703E-16
5.899	0.2687E-16
6.185	0.2663E-16
6.478	0.2632E-16
6.779	0.2594E-16
7.091	0.2551E-16
7.416	0.2504E-16
7.757	0.2453E-16
8.114	0.2399E-16
8.493	0.2341E-16
8.893	0.2282E-16
9.318	0.2219E-16
9.770	0.2155E-16
10.25	0.2089E-16
10.77	0.2022E-16
11.33	0.1954E-16
11.93	0.1884E-16
12.57	0.1814E-16
13.26	0.1744E-16
14.02	0.1673E-16
14.83	0.1603E-16
