% ke12   H2    Excitation    11.30 eV
% e + H2 -> e + H2(B1SIGMA)(11.3eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.1264E-26
0.7547	0.1551E-22
1.027	0.4759E-20
1.440	0.1626E-18
2.024	0.1544E-17
2.641	0.5847E-17
3.202	0.1501E-16
3.674	0.2981E-16
4.074	0.5076E-16
4.426	0.7835E-16
4.745	0.1131E-15
5.044	0.1557E-15
5.333	0.2067E-15
5.616	0.2668E-15
5.899	0.3367E-15
6.185	0.4171E-15
6.478	0.5088E-15
6.779	0.6123E-15
7.091	0.7287E-15
7.416	0.8586E-15
7.757	0.1003E-14
8.114	0.1161E-14
8.493	0.1336E-14
8.893	0.1526E-14
9.318	0.1733E-14
9.770	0.1958E-14
10.25	0.2200E-14
10.77	0.2460E-14
11.33	0.2740E-14
11.93	0.3038E-14
12.57	0.3356E-14
13.26	0.3691E-14
14.02	0.4047E-14
14.83	0.4420E-14
