% ke13   H2    Excitation    11.75 eV
% e + H2 -> e + H2(C3PI)(11.75eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.4923E-27
0.7547	0.8575E-23
1.027	0.3219E-20
1.440	0.1256E-18
2.024	0.1362E-17
2.641	0.5243E-17
3.202	0.1397E-16
3.674	0.2835E-16
4.074	0.4868E-16
4.426	0.7496E-16
4.745	0.1070E-15
5.044	0.1446E-15
5.333	0.1873E-15
5.616	0.2346E-15
5.899	0.2860E-15
6.185	0.3410E-15
6.478	0.3989E-15
6.779	0.4591E-15
7.091	0.5211E-15
7.416	0.5844E-15
7.757	0.6482E-15
8.114	0.7118E-15
8.493	0.7754E-15
8.893	0.8375E-15
9.318	0.8984E-15
9.770	0.9572E-15
10.25	0.1014E-14
10.77	0.1068E-14
11.33	0.1118E-14
11.93	0.1166E-14
12.57	0.1209E-14
13.26	0.1249E-14
14.02	0.1284E-14
14.83	0.1315E-14
