% ke14   H2    Excitation    11.80 eV
% e + H2 -> e + H2(A3SIGMA)(11.80eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.1073E-27
0.7547	0.2951E-23
1.027	0.1306E-20
1.440	0.5764E-19
2.024	0.6903E-18
2.641	0.2814E-17
3.202	0.7869E-17
3.674	0.1654E-16
4.074	0.2916E-16
4.426	0.4581E-16
4.745	0.6644E-16
5.044	0.9086E-16
5.333	0.1188E-15
5.616	0.1501E-15
5.899	0.1843E-15
6.185	0.2211E-15
6.478	0.2601E-15
6.779	0.3009E-15
7.091	0.3431E-15
7.416	0.3865E-15
7.757	0.4305E-15
8.114	0.4746E-15
8.493	0.5191E-15
8.893	0.5629E-15
9.318	0.6061E-15
9.770	0.6482E-15
10.25	0.6891E-15
10.77	0.7284E-15
11.33	0.7658E-15
11.93	0.8012E-15
12.57	0.8343E-15
13.26	0.8642E-15
14.02	0.8919E-15
14.83	0.9162E-15
