% ke16   H2    Excitation    13.86 eV
% e + H2 -> e + H2(G1SIG)(13.86eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.000
1.027	0.000
1.440	0.9339E-36
2.024	0.3185E-28
2.641	0.2317E-27
3.202	0.8010E-26
3.674	0.1229E-24
4.074	0.1043E-23
4.426	0.5878E-23
4.745	0.2448E-22
5.044	0.8093E-22
5.333	0.2238E-21
5.616	0.5367E-21
5.899	0.1148E-20
6.185	0.2239E-20
6.478	0.4040E-20
6.779	0.6837E-20
7.091	0.1096E-19
7.416	0.1676E-19
7.757	0.2464E-19
8.114	0.3494E-19
8.493	0.4811E-19
8.893	0.6446E-19
9.318	0.8428E-19
9.770	0.1079E-18
10.25	0.1355E-18
10.77	0.1670E-18
11.33	0.2028E-18
11.93	0.2426E-18
12.57	0.2863E-18
13.26	0.3335E-18
14.02	0.3841E-18
14.83	0.4374E-18
