% ke17   H2    Excitation    14.00 eV
% e + H2 -> e + H2(D3PI)(14.0eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.3565E-26
1.027	0.5664E-23
1.440	0.6017E-21
2.024	0.1699E-19
2.641	0.8858E-19
3.202	0.3538E-18
3.674	0.9826E-18
4.074	0.2158E-17
4.426	0.4047E-17
4.745	0.6789E-17
5.044	0.1048E-16
5.333	0.1518E-16
5.616	0.2092E-16
5.899	0.2769E-16
6.185	0.3546E-16
6.478	0.4416E-16
6.779	0.5372E-16
7.091	0.6406E-16
7.416	0.7508E-16
7.757	0.8667E-16
8.114	0.9867E-16
8.493	0.1111E-15
8.893	0.1237E-15
9.318	0.1364E-15
9.770	0.1491E-15
10.25	0.1617E-15
10.77	0.1740E-15
11.33	0.1861E-15
11.93	0.1978E-15
12.57	0.2089E-15
13.26	0.2193E-15
14.02	0.2292E-15
14.83	0.2382E-15
