% ke18   H2    Excitation    15.00 eV
% e + H2 -> e + H2*(15.00eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.2578E-31
1.027	0.6151E-26
1.440	0.1748E-23
2.024	0.3367E-21
2.641	0.2209E-20
3.202	0.1594E-19
3.674	0.7141E-19
4.074	0.2313E-18
4.426	0.6003E-18
4.745	0.1327E-17
5.044	0.2602E-17
5.333	0.4648E-17
5.616	0.7719E-17
5.899	0.1209E-16
6.185	0.1805E-16
6.478	0.2590E-16
6.779	0.3595E-16
7.091	0.4853E-16
7.416	0.6395E-16
7.757	0.8254E-16
8.114	0.1046E-15
8.493	0.1305E-15
8.893	0.1606E-15
9.318	0.1951E-15
9.770	0.2346E-15
10.25	0.2792E-15
10.77	0.3292E-15
11.33	0.3851E-15
11.93	0.4472E-15
12.57	0.5157E-15
13.26	0.5906E-15
14.02	0.6727E-15
14.83	0.7617E-15
