% ke19   H2    Excitation    15.20 eV                              
% e + H2 -> e + H2(Rydberg)(15.20eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.5982E-29
1.027	0.4555E-25
1.440	0.1084E-22
2.024	0.1000E-20
2.641	0.6205E-20
3.202	0.3845E-19
3.674	0.1542E-18
4.074	0.4620E-18
4.426	0.1135E-17
4.745	0.2415E-17
5.044	0.4611E-17
5.333	0.8101E-17
5.616	0.1332E-16
5.899	0.2076E-16
6.185	0.3096E-16
6.478	0.4447E-16
6.779	0.6193E-16
7.091	0.8398E-16
7.416	0.1112E-15
7.757	0.1444E-15
8.114	0.1841E-15
8.493	0.2311E-15
8.893	0.2859E-15
9.318	0.3492E-15
9.770	0.4219E-15
10.25	0.5043E-15
10.77	0.5971E-15
11.33	0.7011E-15
11.93	0.8166E-15
12.57	0.9441E-15
13.26	0.1084E-14
14.02	0.1236E-14
14.83	0.1402E-14
