% ke2    H    Excitation    10.20 eV
% e + H -> e + H(2s)(10.2eV)                           
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.4819E-25
0.7547	0.2553E-21
1.027	0.4530E-19
1.440	0.1051E-17
2.024	0.7198E-17
2.641	0.2239E-16
3.202	0.4737E-16
3.674	0.7972E-16
4.074	0.1173E-15
4.426	0.1588E-15
4.745	0.2033E-15
5.044	0.2502E-15
5.333	0.2992E-15
5.616	0.3497E-15
5.899	0.4016E-15
6.185	0.4546E-15
6.478	0.5084E-15
6.779	0.5627E-15
7.091	0.6175E-15
7.416	0.6727E-15
7.757	0.7280E-15
8.114	0.7829E-15
8.493	0.8383E-15
8.893	0.8931E-15
9.318	0.9475E-15
9.770	0.1002E-14
10.25	0.1055E-14
10.77	0.1108E-14
11.33	0.1161E-14
11.93	0.1213E-14
12.57	0.1264E-14
13.26	0.1314E-14
14.02	0.1363E-14
14.83	0.1411E-14
