% ke20   H2    Ionization    15.40 eV                              
% e + H2 -> e + e + H2^+
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.1811E-27
1.027	0.7509E-24
1.440	0.1442E-21
2.024	0.8854E-20
2.641	0.5307E-19
3.202	0.2906E-18
3.674	0.1056E-17
4.074	0.2922E-17
4.426	0.6727E-17
4.745	0.1356E-16
5.044	0.2475E-16
5.333	0.4182E-16
5.616	0.6651E-16
5.899	0.1007E-15
6.185	0.1464E-15
6.478	0.2056E-15
6.779	0.2807E-15
7.091	0.3740E-15
7.416	0.4879E-15
7.757	0.6247E-15
8.114	0.7865E-15
8.493	0.9770E-15
8.893	0.1198E-14
9.318	0.1451E-14
9.770	0.1740E-14
10.25	0.2068E-14
10.77	0.2436E-14
11.33	0.2848E-14
11.93	0.3305E-14
12.57	0.3810E-14
13.26	0.4364E-14
14.02	0.4970E-14
14.83	0.5628E-14
