% ke21   H2    Excitation    16.60 eV                              
% e + H2 -> e + H2*(16.60eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.1225E-30
1.027	0.2842E-26
1.440	0.7906E-24
2.024	0.9239E-22
2.641	0.5991E-21
3.202	0.3857E-20
3.674	0.1566E-19
4.074	0.4658E-19
4.426	0.1122E-18
4.745	0.2322E-18
5.044	0.4286E-18
5.333	0.7249E-18
5.616	0.1145E-17
5.899	0.1711E-17
6.185	0.2445E-17
6.478	0.3367E-17
6.779	0.4497E-17
7.091	0.5853E-17
7.416	0.7450E-17
7.757	0.9307E-17
8.114	0.1143E-16
8.493	0.1386E-16
8.893	0.1658E-16
9.318	0.1963E-16
9.770	0.2303E-16
10.25	0.2677E-16
10.77	0.3089E-16
11.33	0.3541E-16
11.93	0.4034E-16
12.57	0.4570E-16
13.26	0.5148E-16
14.02	0.5773E-16
14.83	0.6443E-16
