% ke22   H2    Dissociative excitation    ??? eV                              
% e + H_2^+ -> e + H + H^+
% Energy (eV)	Rate coefficient (m3/s)
% Source:	R.K. Janev, W.D. Langer, K. Evans Jr., D.E. Post Jr. H-HE-PLASMA (1987). [Accessed via http://www-amdis.iaea.org/cgi-bin/ALADDIN]
2.00E-001	1.30E-018
2.53E-001	1.58E-017
3.20E-001	1.15E-016
4.05E-001	5.60E-016
5.12E-001	1.95E-015
6.47E-001	5.16E-015
8.19E-001	1.10E-014
1.04E+000	1.98E-014
1.31E+000	3.12E-014
1.66E+000	4.41E-014
2.10E+000	5.74E-014
2.65E+000	7.00E-014
3.35E+000	8.13E-014
4.24E+000	9.09E-014
5.37E+000	9.87E-014
6.79E+000	1.05E-013
8.58E+000	1.09E-013
1.09E+001	1.13E-013
1.37E+001	1.15E-013
1.74E+001	1.16E-013
2.20E+001	1.16E-013
2.78E+001	1.16E-013
3.52E+001	1.15E-013
4.45E+001	1.14E-013
5.62E+001	1.12E-013
7.11E+001	1.10E-013
9.00E+001	1.08E-013
1.14E+002	1.06E-013
1.44E+002	1.03E-013
1.82E+002	1.01E-013
2.30E+002	9.81E-014
2.91E+002	9.54E-014
3.68E+002	9.28E-014
4.66E+002	9.01E-014
5.89E+002	8.73E-014
7.46E+002	8.45E-014
9.43E+002	8.16E-014
1.19E+003	7.87E-014
1.51E+003	7.57E-014
1.91E+003	7.26E-014
2.41E+003	6.94E-014
3.05E+003	6.62E-014
3.86E+003	6.29E-014
4.88E+003	5.97E-014
6.18E+003	5.65E-014
7.81E+003	5.33E-014
9.88E+003	5.03E-014
1.25E+004	4.74E-014
1.58E+004	4.48E-014
2.00E+004	4.23E-014

