% ke23   H2+    Recombination    ???? eV                              
% e + H_2^+ -> H + H(n>1)
% Energy (eV)	Rate coefficient (m3/s)
% Source:	R.K. Janev, W.D. Langer, K. Evans Jr., D.E. Post Jr. H-HE-PLASMA (1987). [Accessed via http://www-amdis.iaea.org/cgi-bin/ALADDIN]
1.00E-001	2.23E-013
1.28E-001	1.92E-013
1.65E-001	1.65E-013
2.11E-001	1.42E-013
2.71E-001	1.22E-013
3.47E-001	1.05E-013
4.46E-001	9.06E-014
5.72E-001	7.80E-014
7.34E-001	6.71E-014
9.41E-001	5.77E-014
1.21E+000	4.97E-014
1.55E+000	4.27E-014
1.99E+000	3.68E-014
2.55E+000	3.16E-014
3.27E+000	2.72E-014
4.20E+000	2.34E-014
5.38E+000	2.01E-014
6.90E+000	1.73E-014
8.86E+000	1.49E-014
1.14E+001	1.28E-014
1.46E+001	1.10E-014
1.87E+001	9.50E-015
2.40E+001	8.17E-015
3.08E+001	7.03E-015
3.95E+001	6.05E-015
5.07E+001	5.21E-015
6.50E+001	4.48E-015
8.34E+001	3.85E-015
1.07E+002	3.32E-015
1.37E+002	2.85E-015
1.76E+002	2.46E-015
2.26E+002	2.11E-015
2.90E+002	1.82E-015
3.72E+002	1.56E-015
4.77E+002	1.35E-015
6.12E+002	1.16E-015
7.85E+002	9.96E-016
1.01E+003	8.57E-016
1.29E+003	7.37E-016
1.66E+003	6.34E-016
2.13E+003	5.46E-016
2.73E+003	4.70E-016
3.50E+003	4.04E-016
4.49E+003	3.48E-016
5.76E+003	2.99E-016
7.38E+003	2.57E-016
9.47E+003	2.21E-016
1.22E+004	1.91E-016
1.56E+004	1.64E-016
2.00E+004	1.41E-016

