% ke3    H    Excitation    10.20 eV                               
% e + H -> e + H(2p)(10.2eV)                           
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.8675E-25
0.7547	0.4656E-21
1.027	0.8412E-19
1.440	0.1995E-17
2.024	0.1407E-16
2.641	0.4472E-16
3.202	0.9738E-16
3.674	0.1689E-15
4.074	0.2564E-15
4.426	0.3583E-15
4.745	0.4741E-15
5.044	0.6034E-15
5.333	0.7463E-15
5.616	0.9031E-15
5.899	0.1074E-14
6.185	0.1259E-14
6.478	0.1459E-14
6.779	0.1673E-14
7.091	0.1903E-14
7.416	0.2149E-14
7.757	0.2411E-14
8.114	0.2688E-14
8.493	0.2985E-14
8.893	0.3298E-14
9.318	0.3630E-14
9.770	0.3980E-14
10.25	0.4350E-14
10.77	0.4740E-14
11.33	0.5150E-14
11.93	0.5582E-14
12.57	0.6035E-14
13.26	0.6507E-14
14.02	0.7004E-14
14.83	0.7520E-14

