% ke4    H    Ionization    13.60 eV    
% e + H -> 2e + H^+                           
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.000
0.5476E-01	0.000
0.7031E-01	0.000
0.1209	0.000
0.2283	0.000
0.3754	0.000
0.5487	0.000
0.7547	0.2091E-25
1.027	0.2702E-22
1.440	0.2542E-20
2.024	0.6618E-19
2.641	0.3431E-18
3.202	0.1372E-17
3.674	0.3887E-17
4.074	0.8811E-17
4.426	0.1721E-16
4.745	0.3025E-16
5.044	0.4914E-16
5.333	0.7513E-16
5.616	0.1095E-15
5.899	0.1536E-15
6.185	0.2087E-15
6.478	0.2760E-15
6.779	0.3568E-15
7.091	0.4526E-15
7.416	0.5646E-15
7.757	0.6940E-15
8.114	0.8418E-15
8.493	0.1010E-14
8.893	0.1199E-14
9.318	0.1411E-14
9.770	0.1647E-14
10.25	0.1907E-14
10.77	0.2193E-14
11.33	0.2507E-14
11.93	0.2849E-14
12.57	0.3220E-14
13.26	0.3619E-14
14.02	0.4049E-14
14.83	0.4509E-14
