% ke5    H2    Effective (momentum)
% e + H2 -> e + H2
% m/M = 0.000272
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.1174E-13
0.5476E-01	0.1219E-13
0.7031E-01	0.1438E-13
0.1209	0.2079E-13
0.2283	0.3282E-13
0.3754	0.4738E-13
0.5487	0.6237E-13
0.7547	0.7735E-13
1.027	0.9234E-13
1.440	0.1070E-12
2.024	0.1195E-12
2.641	0.1280E-12
3.202	0.1329E-12
3.674	0.1355E-12
4.074	0.1368E-12
4.426	0.1374E-12
4.745	0.1376E-12
5.044	0.1375E-12
5.333	0.1372E-12
5.616	0.1368E-12
5.899	0.1362E-12
6.185	0.1357E-12
6.478	0.1350E-12
6.779	0.1343E-12
7.091	0.1336E-12
7.416	0.1328E-12
7.757	0.1320E-12
8.114	0.1313E-12
8.493	0.1305E-12
8.893	0.1297E-12
9.318	0.1289E-12
9.770	0.1281E-12
10.25	0.1274E-12
10.77	0.1266E-12
11.33	0.1259E-12
11.93	0.1252E-12
12.57	0.1245E-12
13.26	0.1239E-12
14.02	0.1233E-12
14.83	0.1227E-12
