% ke6    H2    Excitation    0.04 eV
% e + H2 -> e + H2(j0-2)(0.044eV)                            
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.1261E-16
0.5476E-01	0.1394E-16
0.7031E-01	0.2106E-16
0.1209	0.4662E-16
0.2283	0.1130E-15
0.3754	0.2337E-15
0.5487	0.4200E-15
0.7547	0.6919E-15
1.027	0.1088E-14
1.440	0.1647E-14
2.024	0.2303E-14
2.641	0.2885E-14
3.202	0.3325E-14
3.674	0.3639E-14
4.074	0.3867E-14
4.426	0.4038E-14
4.745	0.4172E-14
5.044	0.4279E-14
5.333	0.4368E-14
5.616	0.4443E-14
5.899	0.4507E-14
6.185	0.4562E-14
6.478	0.4610E-14
6.779	0.4651E-14
7.091	0.4687E-14
7.416	0.4718E-14
7.757	0.4744E-14
8.114	0.4767E-14
8.493	0.4785E-14
8.893	0.4799E-14
9.318	0.4810E-14
9.770	0.4818E-14
10.25	0.4822E-14
10.77	0.4823E-14
11.33	0.4821E-14
11.93	0.4815E-14
12.57	0.4807E-14
13.26	0.4796E-14
14.02	0.4782E-14
14.83	0.4765E-14
