% ke7    H2    Excitation    0.07 eV      
% e + H2 -> e + H2(j1-3)(0.073ev)                         
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.1252E-16
0.5476E-01	0.1440E-16
0.7031E-01	0.2512E-16
0.1209	0.6741E-16
0.2283	0.1840E-15
0.3754	0.3975E-15
0.5487	0.7228E-15
0.7547	0.1196E-14
1.027	0.1893E-14
1.440	0.2894E-14
2.024	0.4081E-14
2.641	0.5143E-14
3.202	0.5950E-14
3.674	0.6528E-14
4.074	0.6948E-14
4.426	0.7265E-14
4.745	0.7512E-14
5.044	0.7712E-14
5.333	0.7877E-14
5.616	0.8016E-14
5.899	0.8135E-14
6.185	0.8237E-14
6.478	0.8326E-14
6.779	0.8403E-14
7.091	0.8470E-14
7.416	0.8528E-14
7.757	0.8578E-14
8.114	0.8620E-14
8.493	0.8654E-14
8.893	0.8682E-14
9.318	0.8703E-14
9.770	0.8717E-14
10.25	0.8726E-14
10.77	0.8728E-14
11.33	0.8725E-14
11.93	0.8716E-14
12.57	0.8702E-14
13.26	0.8682E-14
14.02	0.8657E-14
14.83	0.8627E-14
