% ke8    H2    Excitation    0.52 eV       
% e + H2 -> e + H2(V1)(0.516eV)
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.9053E-21
0.5476E-01	0.1781E-20
0.7031E-01	0.2083E-19
0.1209	0.6881E-18
0.2283	0.1043E-16
0.3754	0.5887E-16
0.5487	0.1922E-15
0.7547	0.4625E-15
1.027	0.9132E-15
1.440	0.1530E-14
2.024	0.2159E-14
2.641	0.2636E-14
3.202	0.2925E-14
3.674	0.3085E-14
4.074	0.3167E-14
4.426	0.3203E-14
4.745	0.3211E-14
5.044	0.3201E-14
5.333	0.3178E-14
5.616	0.3146E-14
5.899	0.3107E-14
6.185	0.3062E-14
6.478	0.3013E-14
6.779	0.2961E-14
7.091	0.2905E-14
7.416	0.2847E-14
7.757	0.2787E-14
8.114	0.2726E-14
8.493	0.2662E-14
8.893	0.2597E-14
9.318	0.2531E-14
9.770	0.2465E-14
10.25	0.2397E-14
10.77	0.2329E-14
11.33	0.2261E-14
11.93	0.2192E-14
12.57	0.2124E-14
13.26	0.2056E-14
14.02	0.1987E-14
14.83	0.1920E-14
