% ke9    H2    Excitation    1.00 eV      
% e + H2 -> e + H2(V2)(1.00eV)                         
% Energy (eV)	Rate coefficient (m3/s)
0.5175E-01	0.1465E-28
0.5476E-01	0.7772E-28
0.7031E-01	0.1621E-25
0.1209	0.2855E-22
0.2283	0.8639E-20
0.3754	0.2766E-18
0.5487	0.2475E-17
0.7547	0.1125E-16
1.027	0.3419E-16
1.440	0.7732E-16
2.024	0.1332E-15
2.641	0.1830E-15
3.202	0.2192E-15
3.674	0.2433E-15
4.074	0.2590E-15
4.426	0.2691E-15
4.745	0.2756E-15
5.044	0.2794E-15
5.333	0.2814E-15
5.616	0.2818E-15
5.899	0.2811E-15
6.185	0.2795E-15
6.478	0.2770E-15
6.779	0.2739E-15
7.091	0.2701E-15
7.416	0.2658E-15
7.757	0.2611E-15
8.114	0.2560E-15
8.493	0.2505E-15
8.893	0.2446E-15
9.318	0.2385E-15
9.770	0.2322E-15
10.25	0.2256E-15
10.77	0.2188E-15
11.33	0.2118E-15
11.93	0.2047E-15
12.57	0.1975E-15
13.26	0.1902E-15
14.02	0.1828E-15
14.83	0.1754E-15
