%Energy (eV)	Mobility x N (1/m/V/s)
0.5175E-01	0.1356E+23
0.5476E-01	0.1404E+23
0.7031E-01	0.1642E+23
0.1209	0.2324E+23
0.2283	0.3557E+23
0.3754	0.4953E+23
0.5487	0.6250E+23
0.7547	0.7383E+23
1.027	0.8321E+23
1.440	0.9000E+23
2.024	0.9364E+23
2.641	0.9373E+23
3.202	0.9263E+23
3.674	0.9110E+23
4.074	0.8956E+23
4.426	0.8811E+23
4.745	0.8681E+23
5.044	0.8563E+23
5.333	0.8455E+23
5.616	0.8358E+23
5.899	0.8268E+23
6.185	0.8188E+23
6.478	0.8113E+23
6.779	0.8045E+23
7.091	0.7985E+23
7.416	0.7932E+23
7.757	0.7885E+23
8.114	0.7840E+23
8.493	0.7809E+23
8.893	0.7779E+23
9.318	0.7757E+23
9.770	0.7742E+23
10.25	0.7735E+23
10.77	0.7734E+23
11.33	0.7742E+23
11.93	0.7757E+23
12.57	0.7781E+23
13.26	0.7808E+23
14.02	0.7848E+23
14.83	0.7893E+23
