%Energy (eV)	Energy mobility x N (1/m/V/s)
0.5175E-01	0.2973E+23
0.5476E-01	0.3099E+23
0.7031E-01	0.3713E+23
0.1209	0.5345E+23
0.2283	0.7781E+23
0.3754	0.1017E+24
0.5487	0.1226E+24
0.7547	0.1399E+24
1.027	0.1530E+24
1.440	0.1593E+24
2.024	0.1595E+24
2.641	0.1532E+24
3.202	0.1485E+24
3.674	0.1445E+24
4.074	0.1413E+24
4.426	0.1386E+24
4.745	0.1363E+24
5.044	0.1344E+24
5.333	0.1326E+24
5.616	0.1311E+24
5.899	0.1298E+24
6.185	0.1287E+24
6.478	0.1277E+24
6.779	0.1268E+24
7.091	0.1261E+24
7.416	0.1256E+24
7.757	0.1252E+24
8.114	0.1249E+24
8.493	0.1248E+24
8.893	0.1248E+24
9.318	0.1250E+24
9.770	0.1253E+24
10.25	0.1257E+24
10.77	0.1263E+24
11.33	0.1271E+24
11.93	0.1280E+24
12.57	0.1290E+24
13.26	0.1302E+24
14.02	0.1315E+24
14.83	0.1330E+24
