%Energy (eV)	Total collision freq. / N (m3/s)
0.5175E-01	0.1358E-13
0.5476E-01	0.1406E-13
0.7031E-01	0.1645E-13
0.1209	0.2331E-13
0.2283	0.3588E-13
0.3754	0.5086E-13
0.5487	0.6626E-13
0.7547	0.8185E-13
1.027	0.9786E-13
1.440	0.1142E-12
2.024	0.1285E-12
2.641	0.1388E-12
3.202	0.1451E-12
3.674	0.1487E-12
4.074	0.1508E-12
4.426	0.1520E-12
4.745	0.1528E-12
5.044	0.1532E-12
5.333	0.1534E-12
5.616	0.1534E-12
5.899	0.1534E-12
6.185	0.1533E-12
6.478	0.1532E-12
6.779	0.1531E-12
7.091	0.1530E-12
7.416	0.1529E-12
7.757	0.1528E-12
8.114	0.1528E-12
8.493	0.1528E-12
8.893	0.1529E-12
9.318	0.1530E-12
9.770	0.1532E-12
10.25	0.1534E-12
10.77	0.1538E-12
11.33	0.1542E-12
11.93	0.1548E-12
12.57	0.1554E-12
13.26	0.1562E-12
14.02	0.1570E-12
14.83	0.1580E-12
