% [k21] 
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	0
1.19592332247	0
1.42941655824	8.93790038572e-25
1.70921504014	8.09325548993e-24
2.02136574951	4.17358310801e-23
2.34496542084	2.01524038296e-22
2.66050278874	6.69518535894e-22
2.95683541499	1.81941040441e-21
3.23000345936	4.31713921703e-21
3.47842796915	9.08469170186e-21
3.70588798621	1.7453150033e-20
3.91499046216	3.1043495603e-20
4.10836669394	5.17278335231e-20
4.29078211498	8.2170612307e-20
4.46180877456	1.2438384459e-19
4.62603974303	1.81677742404e-19
4.78360391325	2.56360788098e-19
4.93703419255	3.52056294061e-19
5.08637102087	4.71802946822e-19
5.23346754452	6.17176911012e-19
5.37908732696	7.93900936448e-19
5.52226917185	1.00462348468e-18
5.66644639581	1.24943677928e-18
5.80968043376	1.53454752536e-18
5.95427373713	1.86305134431e-18
6.09862121964	2.2340661811e-18
6.2447103458	2.65238396233e-18
6.39402371485	3.12420672843e-18
6.54408814235	3.64528993666e-18
6.69710615488	4.22565787029e-18
6.84956906189	4.85302624386e-18
7.00928141074	5.54612285246e-18
7.17097887006	6.30425688924e-18
7.33617033419	7.12274162416e-18
7.50449579219	8.00478085753e-18
7.67741027063	8.95855309215e-18
7.85444004651	9.99239274683e-18
8.03481737707	1.10771444038e-17
8.22293235551	1.22537310835e-17
8.416120857	1.34968646492e-17
8.61563594945	1.48310543282e-17
8.81403689504	1.62290442128e-17
9.02706533859	1.773133457e-17
9.24467040556	1.92996757436e-17
9.49547252404	2.11128538956e-17
9.69671257662	2.2709452363e-17
9.96806032135	2.47451998157e-17
10.2204907302	2.67217160783e-17
10.474651148	2.87556697377e-17
10.7428689829	3.09084340552e-17
11.022039333	3.31775466217e-17
11.3018979175	3.54912688222e-17
11.6031631046	3.79741316626e-17
11.9129165115	4.05702011397e-17
12.2335937439	4.32364035749e-17
12.5563830004	4.59694663693e-17
12.9143556248	4.89952452876e-17
13.2677168087	5.19814981977e-17
13.6447580749	5.51457087851e-17
14.036547476	5.84038757813e-17
14.4442095322	6.18053380476e-17
14.8629586723	6.52988192127e-17
15.2919488909	6.88157099134e-17
15.7547719184	7.25937086651e-17
16.2340046889	7.64961732799e-17
16.7275845555	8.0480383824e-17
17.2415037225	8.45426505411e-17
17.7912410447	8.89356512385e-17
18.3480173979	9.32527377057e-17
18.9160709324	9.76035610356e-17
19.5163088957	1.02121888234e-16
20.1418257118	1.0676683142e-16
20.797761974	1.11557417912e-16
21.4816122559	1.1644355311e-16
