% [k2] Dissociative Excitation
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	0
0.522238341849	0
0.622902408171	0
0.733601346462	0
0.859588664742	0
1.00955963517	0
1.19592332247	1.48416235778e-23
1.42941655824	1.43527416856e-22
1.70921504014	8.76942608079e-22
2.02136574951	3.6952590175e-21
2.34496542084	1.29288194263e-20
2.66050278874	3.59339019014e-20
2.95683541499	8.51246217478e-20
3.23000345936	1.81037941438e-19
3.47842796915	3.52215167595e-19
3.70588798621	6.3723916874e-19
3.91499046216	1.08773258643e-18
4.10836669394	1.76620440506e-18
4.29078211498	2.76155568487e-18
4.46180877456	4.16084325939e-18
4.62603974303	6.08919017363e-18
4.78360391325	8.67503456768e-18
4.93703419255	1.20691200977e-17
5.08637102087	1.64653021024e-17
5.23346754452	2.20049251803e-17
5.37908732696	2.89658768476e-17
5.52226917185	3.75671263465e-17
5.66644639581	4.79833770063e-17
5.80968043376	6.05380492619e-17
5.95427373713	7.55431998297e-17
6.09862121964	9.31510264879e-17
6.2447103458	1.13775334114e-16
6.39402371485	1.37701053073e-16
6.54408814235	1.6521713536e-16
6.69710615488	1.96683860209e-16
6.84956906189	2.31965369462e-16
7.00928141074	2.72031634193e-16
7.17097887006	3.16957176671e-16
7.33617033419	3.6677144821e-16
7.50449579219	4.21867696426e-16
7.67741027063	4.82847792852e-16
7.85444004651	5.50089843127e-16
8.03481737707	6.22384608654e-16
8.22293235551	7.01822739371e-16
8.416120857	7.87463552905e-16
8.61563594945	8.80558287914e-16
8.81403689504	9.79207724273e-16
9.02706533859	1.08617857114e-15
9.24467040556	1.19945873409e-15
9.49547252404	1.33083122092e-15
9.69671257662	1.44780414705e-15
9.96806032135	1.59683887357e-15
10.2204907302	1.74215574385e-15
10.474651148	1.89206003286e-15
10.7428689829	2.05100665265e-15
11.022039333	2.21770506562e-15
11.3018979175	2.3877702182e-15
11.6031631046	2.56910711228e-15
11.9129165115	2.75805226706e-15
12.2335937439	2.95098705136e-15
12.5563830004	3.14712182556e-15
12.9143556248	3.36218964423e-15
13.2677168087	3.57247898036e-15
13.6447580749	3.79362128599e-15
14.036547476	4.01783651602e-15
14.4442095322	4.24971726007e-15
14.8629586723	4.48448577498e-15
15.2919488909	4.71758187863e-15
15.7547719184	4.96428529474e-15
16.2340046889	5.2158440789e-15
16.7275845555	5.46703648615e-15
17.2415037225	5.71999685721e-15
17.7912410447	5.98851089603e-15
18.3480173979	6.24750520496e-15
18.9160709324	6.50246280041e-15
19.5163088957	6.76246728216e-15
20.1418257118	7.02581596304e-15
20.797761974	7.29245470063e-15
21.4816122559	7.55781318692e-15
