% [k1] Ionization
% eV	1/(m^3*s)
0.0384444805172	0
0.0385403832069	0
0.0392000885323	0
0.0415522790951	0
0.047476791415	0
0.0599583522965	0
0.0840873685459	0
0.125957555506	0
0.186548660547	0
0.26011765289	0
0.341462918206	0
0.428818810648	7.99659983132e-21
0.522238341849	1.83369856929e-19
0.622902408171	2.20488921266e-18
0.733601346462	1.67520144647e-17
0.859588664742	8.92844303526e-17
1.00955963517	3.54176324367e-16
1.19592332247	1.08390490032e-15
1.42941655824	2.63409455042e-15
1.70921504014	5.24856774231e-15
2.02136574951	8.89195681302e-15
2.34496542084	1.32697785254e-14
2.66050278874	1.8016831655e-14
2.95683541499	2.27998184378e-14
3.23000345936	2.74627973806e-14
3.47842796915	3.18768987787e-14
3.70588798621	3.60376281614e-14
3.91499046216	3.99358994788e-14
4.10836669394	4.35898796988e-14
4.29078211498	4.70599798338e-14
4.46180877456	5.03218166531e-14
4.62603974303	5.34531828168e-14
4.78360391325	5.64431314754e-14
4.93703419255	5.93349068725e-14
5.08637102087	6.21202282997e-14
5.23346754452	6.48253139637e-14
5.37908732696	6.74724835153e-14
5.52226917185	7.00400388668e-14
5.66644639581	7.25653180999e-14
5.80968043376	7.50453383146e-14
5.95427373713	7.74838308886e-14
6.09862121964	7.98685493385e-14
6.2447103458	8.22464499524e-14
6.39402371485	8.45995495022e-14
6.54408814235	8.69315764444e-14
6.69710615488	8.92287390868e-14
6.84956906189	9.1460263967e-14
7.00928141074	9.37620653388e-14
7.17097887006	9.60022951978e-14
7.33617033419	9.82299705912e-14
7.50449579219	1.00432391102e-13
7.67741027063	1.02659449589e-13
7.85444004651	1.0483079796e-13
8.03481737707	1.06979268173e-13
8.22293235551	1.09150454704e-13
8.416120857	1.11312420999e-13
8.61563594945	1.13505319595e-13
8.81403689504	1.15543990179e-13
9.02706533859	1.17694477095e-13
9.24467040556	1.19809522163e-13
9.49547252404	1.22157079935e-13
9.69671257662	1.23914268679e-13
9.96806032135	1.26337572575e-13
10.2204907302	1.28420592373e-13
10.474651148	1.30420637117e-13
10.7428689829	1.32455606124e-13
11.022039333	1.34475843656e-13
11.3018979175	1.36391988047e-13
11.6031631046	1.3840216876e-13
11.9129165115	1.40339142006e-13
12.2335937439	1.42271619534e-13
12.5563830004	1.4407465842e-13
12.9143556248	1.46121939108e-13
13.2677168087	1.47912022373e-13
13.6447580749	1.49763594436e-13
14.036547476	1.5160925906e-13
14.4442095322	1.53402537971e-13
14.8629586723	1.55117633894e-13
15.2919488909	1.56786416928e-13
15.7547719184	1.58531557891e-13
16.2340046889	1.60203044829e-13
16.7275845555	1.61789546452e-13
17.2415037225	1.63400727613e-13
17.7912410447	1.65120017961e-13
18.3480173979	1.66626790368e-13
18.9160709324	1.68020993541e-13
19.5163088957	1.69445176182e-13
20.1418257118	1.70830531211e-13
20.797761974	1.72199697642e-13
21.4816122559	1.73550446522e-13
