% [k3] Electronic Excitation
% eV	1/(m^3*s)
0.0384444805172	8.64806084346e-12
0.0385403832069	8.65200866036e-12
0.0392000885323	8.69006775193e-12
0.0415522790951	8.75560625206e-12
0.047476791415	8.98199868832e-12
0.0599583522965	9.27724930277e-12
0.0840873685459	9.49866400363e-12
0.125957555506	9.41894469172e-12
0.186548660547	9.06710785907e-12
0.26011765289	8.54870645872e-12
0.341462918206	8.01359420973e-12
0.428818810648	7.50987710867e-12
0.522238341849	7.056898898e-12
0.622902408171	6.65102494303e-12
0.733601346462	6.28568089025e-12
0.859588664742	5.95063121392e-12
1.00955963517	5.63509379603e-12
1.19592332247	5.33033357778e-12
1.42941655824	5.03401262192e-12
1.70921504014	4.74909962131e-12
2.02136574951	4.48603610591e-12
2.34496542084	4.25254443112e-12
2.66050278874	4.05191597534e-12
2.95683541499	3.88279510027e-12
3.23000345936	3.74187430169e-12
3.47842796915	3.62323586345e-12
3.70588798621	3.52263503428e-12
3.91499046216	3.43656488592e-12
4.10836669394	3.36139361459e-12
4.29078211498	3.29547055989e-12
4.46180877456	3.23663168051e-12
4.62603974303	3.18363022187e-12
4.78360391325	3.13521987901e-12
4.93703419255	3.09055784834e-12
5.08637102087	3.04924951568e-12
5.23346754452	3.01051937912e-12
5.37908732696	2.97411688676e-12
5.52226917185	2.93952262011e-12
5.66644639581	2.90685419363e-12
5.80968043376	2.87531938169e-12
5.95427373713	2.84516274322e-12
6.09862121964	2.81576207264e-12
6.2447103458	2.78768618895e-12
6.39402371485	2.76044715226e-12
6.54408814235	2.73395833153e-12
6.69710615488	2.70810848634e-12
6.84956906189	2.68248564653e-12
7.00928141074	2.65804098676e-12
7.17097887006	2.63371606927e-12
7.33617033419	2.60981248022e-12
7.50449579219	2.58613421022e-12
7.67741027063	2.56338768823e-12
7.85444004651	2.54024057478e-12
8.03481737707	2.51784400881e-12
8.22293235551	2.49552413718e-12
8.416120857	2.4734929878e-12
8.61563594945	2.45231805168e-12
8.81403689504	2.43042396474e-12
9.02706533859	2.40875316607e-12
9.24467040556	2.38758041557e-12
9.49547252404	2.36883211413e-12
9.69671257662	2.34531844818e-12
9.96806032135	2.32742703257e-12
10.2204907302	2.30658160508e-12
10.474651148	2.28597955628e-12
10.7428689829	2.26522789428e-12
11.022039333	2.24497756601e-12
11.3018979175	2.22459519116e-12
11.6031631046	2.20392256012e-12
11.9129165115	2.18302797027e-12
12.2335937439	2.16322357845e-12
12.5563830004	2.14307393656e-12
12.9143556248	2.12317690784e-12
13.2677168087	2.10306501844e-12
13.6447580749	2.08268356942e-12
14.036547476	2.06241010143e-12
14.4442095322	2.04227701059e-12
14.8629586723	2.02217473942e-12
15.2919488909	2.00282380173e-12
15.7547719184	1.98235832943e-12
16.2340046889	1.96203570037e-12
16.7275845555	1.94141666397e-12
17.2415037225	1.92193875783e-12
17.7912410447	1.90244947831e-12
18.3480173979	1.88272543982e-12
18.9160709324	1.86264163868e-12
19.5163088957	1.84313634711e-12
20.1418257118	1.82358690768e-12
20.797761974	1.80340223657e-12
21.4816122559	1.78351509847e-12
